Name,Team,Position,WAR,G,PA,AB,RUN,HIT,2B,3B,HR,TB,RBI,BB,HBP,IB,SO,DP,SAC,SAC2,BA,OBP,SLG,OPS,wOBA,wRCP,WPA,IsoP,IsoD,wRC27,wRAA,RAABat,RAAdef,RAADefPos,RAAdeftotal,RAA.Adj,Advancedbase,Runper,Advancedpossibility,Outonbase,SB,CS,RAASB,RAABR,Spd
°­¹Î±¹,K,2B,-0.1,18,50,45,2,11,2,0,0,13,4,3,0,0,6,1,2,0,0.244,0.292,0.289,0.581,0.27,50.6,-0.17,0.044,0.047,2.37,0.266,-3.1,0.2,0.2,0.4,-3,0,11.8,36.4,9.09,0,0,0,-0.1,1.4
°­¹ÎÈ£,»ï,C,3.86,123,462,406,55,118,22,0,18,194,67,45,4,4,53,18,0,7,0.291,0.362,0.478,0.839,0.38,123.6,1.49,0.187,0.071,6.19,0.376,13.2,0.2,8.1,8.3,11.7,0.038043478,20.1,33.3,5.56,0,0,-0.1,-1.6,1.1
°­¹éÈ£,K,1B,6.35,142,627,516,76,179,40,1,16,269,102,103,0,10,85,7,0,8,0.347,0.45,0.521,0.971,0.443,165.5,5.78,0.174,0.103,9.78,0.439,50.3,-6.5,-10.8,-17.2,43,0.05,20,48.3,6.62,10,5,-0.4,-0.5,3.7
°­½ÂÈ£,µÎ,2B,0.94,113,340,301,47,72,16,2,7,113,37,22,6,1,78,8,8,3,0.239,0.301,0.375,0.677,0.307,81.8,-0.93,0.136,0.062,3.5,0.313,-7.7,2.3,1.1,3.4,-3.5,0.025423729,33.9,53,4.55,8,2,0.7,1.2,5.4
°­Áø¼º,N,1B,0.19,124,462,406,49,101,20,0,7,142,38,36,14,2,68,12,4,2,0.249,0.33,0.35,0.679,0.321,86.9,-1.32,0.101,0.081,4.09,0.321,-7.6,-4.5,-8.3,-12.8,-13.6,0.040697674,24.4,45.6,8.86,9,3,0.4,-1.9,3.5
°­ÇÑ¿ï,»ï,3B,0.19,124,258,223,25,58,5,0,0,63,27,29,0,0,58,5,3,3,0.26,0.341,0.283,0.624,0.305,77.6,-0.26,0.022,0.081,3.68,0.307,-7.2,-4.4,1.3,-3,-14.6,0.057692308,24,32,5.33,2,2,-0.6,-2.5,2.7
°íÁ¾¿í,S,LF,-0.12,88,199,180,25,48,5,0,2,59,18,16,0,0,30,6,1,2,0.267,0.323,0.328,0.651,0.311,80,0,0.061,0.057,3.67,0.311,-5,-5,-2.6,-7.6,-12,0.076923077,29.5,42.2,6.67,2,3,-1,-1,2.9
±¸ÀÚ¿í,»ï,RF,5,139,610,543,107,166,30,10,22,282,88,48,6,3,98,9,1,12,0.306,0.361,0.519,0.881,0.394,134,3.48,0.214,0.056,6.8,0.392,25.3,9.7,-6.8,2.9,41.6,0.060728745,34.4,53.9,4.26,27,4,3.5,3.1,7.5
±Çµ¿Áø,K,SS,0.42,86,85,66,21,17,5,0,1,25,6,18,0,0,30,0,1,0,0.258,0.417,0.379,0.796,0.382,124.9,-0.03,0.121,0.159,6.8,0.378,2.6,-1.2,0.8,-0.4,-1.3,0.040540541,27,33.3,12.82,3,3,-0.7,-2,5.2
±ÇÈñµ¿,N,LF,1.32,55,171,133,25,35,3,0,8,62,26,29,5,1,24,4,1,3,0.263,0.406,0.466,0.872,0.4,136.7,0.63,0.203,0.143,7.45,0.396,7.7,0.8,-1.8,-1.1,8.8,0.038461538,21.8,27.8,2.78,2,0,0.3,0.1,2.7
±è°­¹Î,S,CF,0.88,122,260,223,43,53,12,1,8,91,27,25,6,1,52,3,3,3,0.238,0.327,0.408,0.735,0.336,95.1,-0.65,0.17,0.089,4.59,0.333,-1.7,2.5,0.9,3.4,-0.5,0.047169811,33,42.1,5.26,3,3,-0.8,-0.5,4.9
±è±âÈ¯,N,LF,-0.35,62,149,140,19,29,7,2,3,49,13,8,0,0,45,1,1,0,0.207,0.25,0.35,0.6,0.275,55.2,-0.39,0.143,0.043,2.38,0.273,-8.3,3.9,-1.7,2.3,-4.1,0.018518519,29.6,51.6,9.68,15,4,1.2,-1,8.5
±èµ¿¿±,»ï,LF,-0.28,69,203,185,20,44,9,0,4,65,24,10,4,0,42,2,0,4,0.238,0.286,0.351,0.637,0.297,70.2,-0.53,0.114,0.048,3.23,0.296,-7.5,0.2,-3.5,-3.2,-7.6,0.049180328,26.2,40,5.71,2,1,-0.1,-0.2,3.4
±è¹Î¼º,L,3B,0.83,121,426,360,35,80,22,0,8,126,39,42,8,2,73,7,11,5,0.222,0.313,0.35,0.663,0.305,80.7,-0.6,0.128,0.091,3.51,0.312,-10.3,7.6,1.5,9,-3.3,0.013245033,17.9,42.4,5.09,3,3,-0.8,0.3,2.5
±è¹Î¼ö,·Ô,2B,0.15,83,224,199,19,48,11,1,3,70,25,18,3,0,62,4,3,1,0.241,0.312,0.352,0.664,0.311,77.8,-1.37,0.111,0.071,3.74,0.307,-6.2,-1,-0.1,-1.1,-8.7,0.025316456,20.3,34.3,11.43,0,0,-0.1,-1.5,2.7
±è¹Î¼ö,»ï,C,0.42,47,87,76,9,20,5,0,3,34,13,6,1,0,13,2,2,2,0.263,0.318,0.447,0.765,0.339,96.7,0.16,0.184,0.054,4.6,0.336,-0.4,-0.2,1.7,1.6,-1.4,0.066666667,20,40,13.33,0,0,0,-0.8,1.7
±è¹Î½Ä,K,C,0.62,100,301,250,30,55,8,0,3,72,26,41,4,1,49,2,3,3,0.22,0.336,0.288,0.624,0.305,75.7,-0.34,0.068,0.116,3.75,0.304,-9.1,0,5.2,5.2,-11.5,0.053571429,24.1,33.8,6.76,0,0,-0.1,-2.4,2.5
±è¹ÎÇÏ,ÇÑ,RF,0.04,46,142,115,14,24,4,1,1,33,17,17,8,0,36,3,0,2,0.209,0.345,0.287,0.632,0.317,85.1,-0.49,0.078,0.136,4,0.318,-2.6,3.7,-1.6,2.2,-0.2,0.070175439,22.8,37.5,7.5,6,3,-0.2,-1.1,5
±è¹ÎÇõ,K,LF,0.87,75,198,171,22,54,6,2,1,67,13,20,2,0,27,3,5,0,0.316,0.394,0.392,0.786,0.367,115.7,0.14,0.076,0.078,6.04,0.364,3.7,0.7,-2.3,-1.6,3.5,0.068965517,24.1,29.5,6.82,6,3,-0.2,-0.8,5.5
±èº´Èñ,K,3B,1.15,34,69,51,16,15,3,0,5,33,13,13,3,0,14,0,2,0,0.294,0.463,0.647,1.11,0.476,189.8,1.1,0.353,0.169,11.46,0.476,7.6,-1.2,0.2,-1,7.4,0.027777778,30.6,41.2,0,3,0,0.6,0.4,5.1
±è»ó¼ö,»ï,2B,0.38,132,496,429,46,101,17,1,3,129,42,52,3,0,51,14,8,4,0.235,0.32,0.301,0.62,0.298,71.7,-1.26,0.065,0.084,3.3,0.298,-17.5,1.9,1.8,3.7,-16.6,0.039772727,24.4,34.6,4.67,4,2,-0.2,-0.9,3.1
±è¼±ºó,K,2B,3.42,130,564,501,55,154,32,0,5,201,67,56,1,2,39,19,1,5,0.307,0.375,0.401,0.776,0.366,116,3.06,0.094,0.067,5.86,0.365,10.9,-4.7,1.8,-2.9,4.4,0.030172414,21.6,34.4,3.05,0,0,-0.2,-1.6,1.4
±è¼ºÇö,S,2B,1.65,110,274,237,27,67,15,0,6,100,37,29,0,0,29,8,4,4,0.283,0.356,0.422,0.778,0.357,109.8,1.24,0.139,0.073,5.35,0.355,3.2,0.9,1.9,2.8,4,0.03539823,18.6,32.7,3.85,5,2,0,-0.1,2.8
±è¿õºó,Å°,3B,0.78,97,278,231,23,55,13,1,5,85,34,34,9,2,73,2,2,2,0.238,0.355,0.368,0.723,0.341,101.6,0.26,0.13,0.117,5.06,0.343,0.4,3.3,-1.4,1.9,0.9,0.027272727,16.4,40.7,10.17,1,1,-0.3,-2.5,3.3
±èÀÎÅÂ,µÎ,RF,1.74,133,418,344,51,89,15,1,8,130,46,62,3,0,67,10,5,4,0.259,0.373,0.378,0.751,0.355,113.3,1.54,0.119,0.114,5.5,0.361,6.7,8.8,-4.1,4.7,13,0.036363636,26.1,38.8,4.08,0,2,-1,-1.6,2.5
±èÀç¼º,L,C,-0.23,58,73,65,6,9,2,1,1,16,3,5,1,0,13,2,1,1,0.138,0.208,0.246,0.455,0.214,18.1,-0.74,0.108,0.07,0.63,0.218,-7.4,0.2,1.7,1.9,-6.8,0,31.3,55.6,0,1,0,0.2,0.2,5.1
±èÀçÀ¯,·Ô,CF,0.76,87,192,174,27,50,8,0,1,61,18,10,4,0,36,1,4,0,0.287,0.34,0.351,0.691,0.325,87.4,0.46,0.063,0.053,4.42,0.322,-3,-0.6,0.4,-0.2,-1.4,0.023809524,31,37.3,0,7,0,1.3,0.9,5.4
±èÀçÇö,Å°,C,0.03,39,51,46,2,10,7,0,0,17,8,3,0,0,12,1,2,0,0.217,0.265,0.37,0.635,0.282,58.8,-0.21,0.152,0.048,2.57,0.279,-2.6,0.2,1.2,1.4,-2.8,0.071428571,14.3,16.7,0,0,1,-0.4,0,2
±èÀçÈ£,µÎ,SS,-0.02,89,251,211,23,44,8,0,1,55,24,29,2,0,34,7,6,3,0.209,0.306,0.261,0.567,0.275,58.2,-1.73,0.052,0.098,2.56,0.278,-13,1.3,2.8,4.1,-12.1,0.056818182,25,42.6,3.7,1,1,-0.3,-0.1,2.3
±èÀçÈ¯,µÎ,LF,4.77,137,566,475,86,130,23,2,27,238,102,81,5,3,127,9,0,5,0.274,0.382,0.501,0.883,0.401,148.2,2.69,0.227,0.108,7.25,0.413,33.3,-9.7,-6.3,-16,21.4,0.029045643,24.5,30.5,3.39,2,3,-1.1,-1.2,3.3
