Name,Team,PCB1,PCB2,PCD1,PCR1,PCR2,PCR3,PAINS,Unweightedtotal,WAR,Cluster,Position
강민호,삼,4.693323324,-0.091573348,2.06541667,-1.784826383,0.318140166,-0.055238189,6.082775747,5.14524224,3.86,상위 티어,C
강백호,KT,11.02531289,-0.355662431,-3.728357433,0.474880893,0.515573192,0.307071631,7.861668083,8.238818742,6.35,최상위 티어,1B
강승호,두,-1.248316217,0.289082896,0.999501747,1.70868581,0.009894637,-0.131075462,0.792260297,1.627773411,0.94,중간 티어,2B
강진성,N,0.23518996,0.367232947,-2.70766109,0.034880668,0.94265259,-0.017100742,-2.15879857,-1.144805668,0.19,하위 티어,1B
강한울,삼,-3.031698706,0.190462633,-0.530308417,-1.383491777,0.539206013,0.260756919,-4.287462822,-3.955073335,0.19,최하위 티어,3B
고종욱,S,-3.249212914,0.025010097,-1.553453609,-0.060405764,0.691841956,0.655230461,-5.022606708,-3.490989773,-0.12,최하위 티어,LF
구자욱,삼,8.358529509,0.215142744,0.986481428,4.558863176,0.545464682,-0.633363985,12.33920016,14.03111755,5,최상위 티어,RF
권희동,N,0.702616799,-0.852467706,-0.013311134,-1.192671723,-0.163515944,-0.1941529,-0.588201965,-1.713502607,1.32,중간 티어,LF
김강민,S,-0.86406043,-0.145105498,1.00216666,0.311387814,0.233258929,0.389215441,0.131397701,0.926862915,0.88,중간 티어,CF
김기환,N,-5.398087736,-0.084051023,0.763479646,1.469398407,0.896451021,-0.316938926,-4.279688238,-2.669748612,-0.35,최하위 티어,LF
김동엽,삼,-3.681337988,-0.063758387,-0.51366426,-0.387976628,0.320847977,0.133502273,-4.670561252,-4.192387013,-0.28,최하위 티어,LF
김민성,L,-0.672327822,0.402786009,2.332062173,-0.696739182,-0.225081195,0.081691991,1.629876117,1.222391974,0.83,중간 티어,3B
김민수,롯,-3.202629837,-0.052330601,-0.049068148,-1.932253178,0.861312969,-0.096074082,-4.463977287,-4.471042877,0.15,최하위 티어,2B
김민식,KIA,-2.752804045,0.107268005,1.최하위 티어7069478최하위 티어,-1.638956897,0.70642698,0.078977404,-2.270813867,-2.12839377,0.62,하위 티어,C
김민하,한,-4.020843481,-0.332383623,0.738490315,-0.388262841,0.826940437,0.317105654,-3.991953598,-2.858953539,0.04,하위 티어,RF
김민혁,KT,-1.029713008,-0.244965539,-0.138038482,-0.567160419,0.667442834,0.262866642,-1.723412452,-1.049567972,0.87,하위 티어,LF
김상수,삼,-1.109713548,0.743438451,1.061145177,-0.693936448,0.176624193,0.046360029,0.170695212,0.223917854,0.38,중간 티어,2B
김선빈,KIA,4.338439207,0.325066392,-0.500208569,-1.619345466,-0.043169673,-0.094612138,3.549470748,2.406169753,3.42,상위 티어,2B
김성현,S,0.298243989,-0.120571148,0.846900846,-0.877982234,-0.044381232,-0.078239763,0.626754632,0.023970458,1.65,중간 티어,2B
김웅빈,키,-0.706083605,-0.278850953,0.677960033,-1.955181916,0.863479879,-0.006336421,-1.285533415,-1.405012983,0.78,하위 티어,3B
김인태,두,1.793927197,0.072479988,1.376328854,-0.992718745,0.062124739,0.275054253,2.851423188,2.587196287,1.74,중간 티어,RF
김재유,롯,-2.792377739,-0.071490794,0.157181444,0.629905858,-0.496284871,-0.502680197,-2.54328718,-3.075746299,0.76,하위 티어,CF
김재호,두,-4.608849788,0.354959767,1.142448112,-0.345111715,0.128496203,0.244987669,-3.607056443,-3.083069752,-0.02,하위 티어,SS
김재환,두,7.574994362,-0.313050679,-3.491330216,-1.143354083,-0.171690256,0.203163481,3.662538882,2.658732608,4.77,상위 티어,LF
김주원,N,-2.826923023,-0.279233133,0.467058391,-0.140711488,-0.043247657,-0.138154037,-2.830829341,-2.961210947,0.73,하위 티어,SS
김준태,롯,-4.654055722,-0.269806836,0.590564559,-0.35386995,-0.892835622,-0.280867041,-4.742540251,-5.860870613,0.37,최하위 티어,KC
김지찬,삼,-2.675599109,0.484464157,0.68497275,3.139009919,0.337249941,-0.830633719,-0.151749881,1.13946394,0.9,중간 티어,SS
김찬형,N,-4.208841181,-0.042514774,0.481715411,0.068339649,-0.677014594,0.031821158,-3.97611058,-4.34649433,0.41,하위 티어,S2
김태군,N,-2.832487078,0.178953187,1.78985625,-1.953700683,-0.14309853,0.098901579,-2.030515858,-2.861575275,0.63,하위 티어,C
김태연,한,1.287206216,-0.659971715,0.40973967,0.727643639,0.130174238,0.420885755,1.590296731,2.315677803,1.91,중간 티어,3B
김태진,KIA,-1.32390797,0.573217694,0.414634124,0.760994708,-0.489606122,0.146965894,-0.117973066,0.082298326,0.64,중간 티어,3B
김헌곤,삼,-0.25202571,0.221151603,-0.111497386,-0.245239633,-0.773319316,0.215741887,-0.317482029,-0.945188554,1.14,중간 티어,LF
김현수,L,6.0428923,0.053803039,-2.715001148,-0.959840469,0.180233695,-0.201944617,3.223966483,2.4001428,3.31,상위 티어,LF
김혜성,키,4.246813133,0.550008824,0.921214159,6.95333062,0.432264284,-2.000593848,9.405617277,11.10303717,4.73,최상위 티어,SS
김호령,KIA,-4.396222773,-0.306662934,1.028488447,0.279270222,-0.063774925,-0.033344367,-3.738276132,-3.49224633,0.36,하위 티어,CF
나성범,N,6.992179304,-0.076882723,-1.087328828,0.377518794,-0.967342401,0.251716634,6.439420375,5.489860781,3.91,상위 티어,RF
나승엽,롯,-5.957315017,-0.107396517,-0.130371084,-0.140432231,-0.467669226,-0.055213748,-6.607707115,-6.858397823,-0.21,최하위 티어,1B
노수광,한,-4.253705085,-0.191277785,0.446393769,1.424664359,1.844684514,-0.053084481,-3.499716905,-0.782324709,0.3,하위 티어,CF
노시환,한,5.320456863,-0.360046418,-0.66281444,0.310001109,0.000276023,0.106924299,4.823782189,4.714797435,3.75,상위 티어,3B
노진혁,N,2.078010813,-0.190099115,1.494636324,-0.889831537,-0.714979672,-0.041167902,3.1030298,1.73656891,2.9,상위 티어,SS
라모스,L,-1.925807584,-0.480548818,-0.706808597,-2.495706394,0.432621264,-0.164875718,-4.41969671,-5.341125847,0.58,최하위 티어,1B
로맥,S,1.566444116,-0.212095553,-0.511788399,-1.796934847,0.79690017,-0.092489726,0.057773667,-0.24996424,1.13,중간 티어,1B
류지혁,KIA,-0.303175882,-0.020232778,-0.566527144,-0.813465917,-0.401265392,-0.000452958,-1.321303675,-2.105120071,1.27,하위 티어,3B
마차도,롯,2.170140668,0.484116092,3.140963034,1.514587499,0.167614889,0.325417297,6.644820691,7.802839478,2.55,상위 티어,SS
문보경,L,-0.689871936,-0.063482838,1.502280627,-0.330979978,-0.653441528,-0.264921902,0.565506582,-0.500417556,1.06,중간 티어,1B
박건우,두,5.999174746,0.09376968,-0.721465617,1.816584816,0.539098459,-0.541962438,6.626545817,7.185199647,4.62,상위 티어,RF
박경수,KT,-2.674935403,-0.018467033,1.194086572,-2.368157805,0.339564566,-0.1405016,-2.840626974,-3.668410703,0.1,하위 티어,2B
박계범,두,0.577866372,0.142478921,0.244819321,0.416658564,0.130301275,0.336486612,1.190072789,1.848611065,2.06,중간 티어,SS
박동원,키,3.782857138,-0.08736532,0.104865209,-1.051901857,-0.069182361,-0.291039899,3.511119262,2.388232909,3.09,상위 티어,C
박민우,N,-2.286366589,-0.064612342,0.318782199,1.324829261,0.6002467,-0.193882695,-1.487043554,-0.301003464,0.83,하위 티어,2B
박병호,키,2.99215056,-0.118330576,-1.338007948,-1.447420217,-0.880726451,-0.116856798,0.989913918,-0.90919143,1.47,중간 티어,1B
박석민,N,0.241050757,-0.630003889,0.590999931,-1.603788129,0.075874498,0.076668091,-0.487477166,-1.249198741,1.32,중간 티어,3B
박성한,S,1.724074691,0.307114934,0.968527909,1.713247162,-0.421960803,0.060890992,3.92918807,4.351894885,3.34,상위 티어,SS
박세혁,두,-4.185421793,0.351145785,1.540290277,-0.11138674,-0.524010383,-0.102894269,-2.641603908,-3.032277123,0.24,하위 티어,C
박정현,한,-7.739017074,0.146328455,0.657973187,-0.837655342,-0.091106857,-0.184784131,-7.838601967,-8.048261762,-0.52,최하위 티어,SS
박준영,N,-2.390787131,0.144029664,0.934866064,-0.182373116,-0.511400125,-0.069621786,-1.560898859,-2.07528643,0.43,하위 티어,3B
